代號, 名稱,divavg, y18, y17, y16, y15, y14
2923, 鼎固-KY,0.404,0.72,0.36,0.36,0.36,0.22
2924, 東凌-KY,0.64,0,0,0.5,0.5,2.2
2926, 誠品生活,7.308,6.8,7.56,7.68,7.58,6.92
2928, 紅馬-KY,0.988,0,0.79,3.2,0.95, nan
2929, 淘帝-KY,4.632,3.15,4.83,3.23,5.45,6.5
2936, 客思達-KY,0.86,0,0.3,4, nan, nan
2937, 集雅社,0.352,0.7,0.6,0.46, nan, nan
2939, 凱羿-KY,4.8,9,15, nan, nan, nan
3002, 歐格,0.38,0,0.25,0.5,0.35,0.8
3003, 健和興,1.418,1.8,1.8,1.5,1,0.99
3004, 豐達科,1.56,2.5,2,1.5,1.8,0
3005, 神基,2.36,3,2.5,3,2,1.3
3006, 晶豪科,1.85,1.5,2.24,1.43,1.43,2.65
3008, 大立光,63.7,68,72.5,63.5,63.5,51
3010, 華立,3.02,3.2,3.3,2.6,2.7,3.3
3011, 今皓,0,0,0, nan, nan, nan
3013, 晟銘電,0.322,0.3,0.5,0.5,0.31, nan
3014, 聯陽,2.426,2.7,2.5,2.93,2,2
3015, 全漢,1.17,1.25,1.5,1.5,1.5,0.1
3016, 嘉晶,0.32,1,0.5,0, nan,0.1
3017, 奇鋐,1.1,1,1.3,1.2,1,1
3018, 同開,0.102,0,0,0, nan,0.51
3019, 亞光,0.98,2.3,1.6,1, nan, nan
3021, 鴻名,0.58,0.75,0.75,0.7, nan,0.7
3022, 威強電,1.6,0,0.5,3,2,2.5
3023, 信邦,3.606,4.48,4,3.7,3.1,2.75
3024, 憶聲,0.064,0.32,0, nan, nan, nan
3025, 星通,0.11,0,0.13,0.27, nan,0.15
3026, 禾伸堂,4.518,9,5.3,2.5,2.5,3.29
3027, 盛達,0.092,0,0,0.01,0.15,0.3
3028, 增你強,1.684,1.7,1.82,1.5,1.7,1.7
3029, 零壹,1.082,1.5,1.3,1.2,1,0.41
3030, 德律,3.6,3.7,3,3,4,4.3
3031, 佰鴻,0.548,0.52,0.85,0.8,0.07,0.5
3032, 偉訓,2.09,2.25,2,2.2,2,2
3033, 威健,1.366,1.02,1.31,1.06,1.5,1.94
3034, 聯詠,8.38,8.8,7.1,7,9,10
3035, 智原,1.604,0.8,2.7,1,2,1.52
3036, 文曄,2.63,2.35,2.5,2.4,2.9,3
3037, 欣興,0.48,0.8,0.5,0.3,0.3,0.5
3038, 全台,0.328,0.5,0.41,0.41,0.32, nan
3040, 遠見,4.3,2,9,5,2.5,3
3041, 揚智,0.158,0,0, nan, nan,0.79
3042, 晶技,2.46,2,2.5,2.8,2.5,2.5
3043, 科風,0,0,0, nan, nan, nan
3044, 健鼎,4.28,5.9,5.25,4.25,3.25,2.75
3045, 台灣大,5.59,5.55,5.6,5.6,5.6,5.6
3046, 建碁,0.06,0.3,0, nan, nan, nan
3047, 訊舟,0.32,0,0,0.5,0.5,0.6
3048, 益登,0.838,0.7,1,0.5,1,0.99
3049, 和鑫,0,0,0, nan, nan, nan
3050, 鈺德,0.4,0.3,0.6,0.3,0.8, nan
3051, 力特,0,0,0, nan, nan, nan
3052, 夆典,0.38,0,0.7,0.3,0.5,0.4
3054, 立萬利,0.126,0,0.4,0.11, nan,0.12
3055, 蔚華科,0.964,1,0.8,0.82,1,1.2
3056, 總太,1.7,1.5,2,2.5,2,0.5
3057, 喬鼎,0.458,0,0, nan,0.3,1.99
3058, 立德,0.34,0.2,0,0.5,0.5,0.5
3059, 華晶科,0.758,0.5,0.49,0.8,1,1
3060, 銘異,1.62,0,0.6,1.5,3.8,2.2
3062, 建漢,0.65,0.4,0.35,0.8,1,0.7
3064, 泰偉,0,0,0, nan, nan, nan
3066, 李洲,0,0,0, nan, nan, nan
3067, 全域,0,0,0, nan, nan, nan
3071, 協禧,0.42,1.2,0.9, nan, nan, nan
3073, 凱柏實業,0,0,0, nan, nan, nan
