代號, 名稱, y18, y17, y16, y15, y14
6136, 富爾特,1.5,1.8,2,2.1,2.31
6138, 茂達,4.2,2.4,2.11,1.5,1.89
6139, 亞翔,1.5,1.5,1.43,1,0.8
6140, 訊達,0,0, nan, nan, nan
6141, 柏承,0.1,0.5,0.3,0.3,0.3
6142, 友勁,0,0,0.56, nan, nan
6143, 振曜,4,2,3,2,5
6144, 得利影,0,0, nan, nan, nan
6146, 耕興,6.2,6.1,6.2,6,5.61
6147, 頎邦,3.5,2.35,2.1,2.1,2.6
6148, 驊宏資,1,0, nan, nan,0.23
6150, 撼訊,2,5, nan, nan, nan
6151, 晉倫,1.3,2,2.2,2.2,1.2
6152, 百一,0,0, nan, nan, nan
6153, 嘉聯益,0.3,0.2,0.5,1,0.63
6154, 順發,1,1,1,1,1.35
6155, 鈞寶,1,0.45,0.85,1.1,1.2
6156, 松上,0.4,0.4,0.8,0.3, nan
6158, 禾昌,10,1.22,1,0.5, nan
6160, 欣技,0.73,0,1,1,1
6161, 捷波,1.6,1.1,0.9,0.2,0.4
6163, 華電網,0.3,0.5, nan, nan, nan
6164, 華興,0.2,0.4,0.85,0.5,0.85
6165, 捷泰,0,0, nan, nan, nan
6166, 凌華,1.3,1.5,1.8,2.4,1.9
6167, 久正,0,0, nan, nan, nan
6168, 宏齊,1,1, nan, nan,1.4
6169, 昱泉,0,0, nan, nan, nan
6170, 統振,0,0,0.12,0.43,0.29
6171, 亞銳士,0.2,0.3,0.2,0.2, nan
6172, 互億,0,0, nan, nan, nan
6173, 信昌電,4.3,1.5,0.3,0.35,0.4
6174, 安碁,1,0.5,1,1,1.2
6175, 立敦,1.5,2,0.5,0.3,0.17
6176, 瑞儀,7,4.8,4.5,4.5,5.5
6177, 達麗,0.5,4.42,1.99,2.98,4
6179, 亞通,1.5,2,2.52,2.6,0.2
6180, 橘子,6.2,0.5, nan,1.2,0.7
6182, 合晶,2.5,0.38, nan, nan, nan
6183, 關貿,1.66,1.5,1.22,1.2,1.1
6184, 大豐電,2.5,2.5,0.5,0.5,1.99
6185, 幃翔,0.5,0.7,1.7,1.6,2
6186, 新潤,1,1.5,2,3,2.5
6187, 萬潤,3.1,3.1,3,2,1.75
6188, 廣明,1.5,1.2,1.5,1.2,3.2
6189, 豐藝,2.63,1.8,2.3,3,3.2
6190, 萬泰科,1,0.6,0.46, nan, nan
6191, 精成科,0.3,0.6,0.4, nan, nan
6192, 巨路,3.3,3.3,2,3,3
6194, 育富,0.75,0.75,0.75,0.75,0.75
6195, 詩肯,3,3.94,2.97,3.5,5.11
6196, 帆宣,3,2.48,2.07,2,2
6197, 佳必琪,2,1.68,1.2,2,2.23
6198, 凌泰,0,0, nan, nan, nan
6199, 天品,0.2,0.2, nan, nan, nan
6201, 亞弘電,2.7,2.1,3,2,1.8
6202, 盛群,4.7,4.1,3.5,3.57,3.5
6203, 海韻電,2.5,1.2,2,2,3.5
6204, 艾華,1,1.1,1,0.7,1
6205, 詮欣,1.5,1.2,2,2,2.2
6206, 飛捷,5,4.5,5,6,5.95
6207, 雷科,2.5,1.8,1.5,2.5,1.86
6208, 日揚,1.7,1.4,0.8,0.2,0.8
6209, 今國光,0,0,0.5, nan, nan
6210, 慶生,2.6,3.5,2,4,4
6212, 理銘,3,1.5,1.5,1.5, nan
6213, 聯茂,3.8,3.1,2.5,1.6,1.22
6214, 精誠,5,5,5,5,4.98
6215, 和椿,0.5,0.6,0.5,0.25,1
6216, 居易,1.98,2.06,2.64,2.62,2.12
6217, 中探針,0.7,1.6,1.8,2.4,1.75
6218, 豪勉,1.6,1.2,1.2,1,1
6219, 富旺,0.64,0.75,0.09,0.12,0.72
6220, 岳豐,2,2.3,2.3,1.25,0.61
6221, 晉泰,1.25,0.5,0.5,1.7,1.29
6222, 上揚,0,0, nan, nan, nan
6223, 旺矽,2,0.5,4.18,3,4.01
6224, 聚鼎,3.75,3,4.55,4.3,4.2
6225, 天瀚,0,0, nan, nan, nan
6226, 光鼎,0.12,0.12,0.1, nan,0.1
6227, 茂綸,1.5,1.1,1,1,0.9
6228, 全譜,0,0, nan, nan, nan
6229, 研通,0.93,0.46,0.67,0.04,0.78
6230, 超眾,4.7,3.95,7.5,5.5,4
6231, 系微,1.5,0.85,0.3,0.85,0.4
6233, 旺玖,0,0, nan, nan, nan
6234, 高僑,0.6,0.3,0.25,1,0.9
6235, 華孚,0.5,0.3,1.99, nan, nan
6236, 康呈,0,0, nan, nan, nan
6237, 驊訊,0.25,0.5,0.25,0.25,0.7
6238, 勝麗,8.25,7.98,7.49,6, nan
6239, 力成,4.8,4.5,4,3.5,3
6240, 松崗,0,0, nan, nan, nan
6241, 易通展,0,0, nan, nan,1.8
6242, 立康,2.5,2.5,1.3,0.05, nan
6243, 迅杰,0,0, nan, nan, nan
6244, 茂迪,0,0,0,0, nan
6245, 立端,2,2,3,1.97,1.47
6246, 臺龍,0,0,1.81, nan, nan
6247, 淇譽電,0,0.2,0.15,0.5,0.1
6248, 沛波,0,0.7,0.8,0.65, nan
6251, 定穎,0,0, nan, nan, nan
6257, 矽格,2.06,1.76,1.65,1.6,2.12
6259, 百徽,0,0, nan, nan, nan
6261, 久元,3,4.1,3.1,3.3,5
6263, 普萊德,4.3,4.3,3.9,3.8,3.3
6264, 富裔,0,0, nan,0, nan
6265, 方土昶,0,0, nan,0.55,0.87
6266, 泰詠,1.71,1.16,0.68,0.8,0.48
6269, 台郡,5,5.02,4.46,4.49,2.07
6270, 倍微,1,0.97,0.5,0.5,0.55
6271, 同欣電,6,6,5.91,6,6
6274, 台燿,4.4,3.19,2.1,1.6,1.61
6275, 元山,0,0.6,0.6,0.4,0.47
6276, 安鈦克,0,0, nan, nan,0.6
6277, 宏正,8,5.5,5.8,5.2,5.7
6278, 台表科,1.3,1.3,1,1.5,1.5
6279, 胡連,4,8,6,5.6,5.6
6281, 全國電,4,4,4.3,3.7,3.9
6282, 康舒,1,0.9,1.4,1.5,1.58
6283, 淳安,0,0,0.5, nan, nan
6284, 佳邦,0.8,0.46,0.46,1,1
6285, 啟碁,3.5,3.7,3.67,3.7,2.7
6287, 元隆,0,0, nan, nan, nan
6288, 聯嘉,0.55,0.35,0.5, nan, nan
6289, 華上,0,0, nan, nan, nan
6290, 良維,1.49,1.5,2.65,2,1.81
6291, 沛亨,0,0, nan, nan, nan
6292, 迅德,2.3,2.3,3.2,2,3
6294, 智基,8,7.5,8.5,3.8,0
6404, 通訊-KY,0,0, nan,0.2,1.53
6405, 悅城,0.5,0.5,0.2, nan,2
6409, 旭隼,21,20,20,15,10.8
6411, 晶焱,4.17,3.2,2.4,1.8,1.5
6412, 群電,2,3.1,2.75,2.35,2.33
6414, 樺漢,7,8.88,10.12,9,6
